
# list of object assets to load in this scene
[ASSETS]
grass.txt
mario.txt

[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas. 4: coin
# 6 = question brick, 7 = PIPE, 8 = piranhaplant, 9 = firePiranhaPlant
# See OBJECT_TYPE constants in AssetIDs.h
#

# MARIO
0	30	47


12	16	16	80000
12	32	16	80000
12	48	16	80000
12	16	32	80000
12	32	32	80000
12	48	32	80000
12	16	64	80000
12	32	64	80000
12	48	64	80000
12	16	80	80000
12	32	80	80000
12	48	80	80000
12	16	96	80000
12	80	32	80000
12	96	32	80000
12	112	32	80000
12	80	48	80000
12	96	48	80000
12	112	48	80000
12	80	64	80000
12	96	64	80000
12	112	64	80000
12	144	32	80000
12	160	32	80000
12	176	32	80000
12	208	16	80000
12	224	16	80000
12	208	32	80000
12	224	32	80000
12	208	48	80000
12	224	48	80000
12	208	64	80000
12	224	64	80000
12	144	64	80000
12	160	64	80000
12	176	64	80000
12	192	64	80000
12	224	80	80000
12	224	96	80000
12	224	112	80000
12	224	128	80000
12	224	144	80000
12	144	80	80000
12	160	80	80000
12	128	96	80000
12	112	96	80000
12	96	96	80000

# DOOR
12	30	47	80007
12	65	18	80001
12	128	18	80002
12	160	18	80003
12	160	50	80004
12	65	145	80005
12	129	145	80006
12	128	80	80008



[TILEMAP]
Resources\Tilemap\world-map.txt
