# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
11121	246	154	259	181	0
11111	186	154	199	181	0

#WALKING RIGHT
11222	275	154	290	181	0
11223	304	154	321	181	0

#WALKING LEFT
11212	155	154	170	181	0
11213	125	154	140	181	0

#RUNNING RIGHT
11321	334	154	355	181	0
11322	334	154	355	181	0
11323	392	154	413	181	0

#RUNNING LEFT
11311	91	154	112	181	0
11312	65	154	86	181	0
11313	34	154	55	181	0

#JUMP WALK RIGHT
11417	395	275	412	302	0
11413	35	275	52	302	0

#JUMP RUN RIGHT & LEFT
11427	394	195	413	222	0
11423	35	195	52	222	0

#SIT RIGHT & LEFT 
11521	426	239	441	256	0
11511	5	239	20	256	0

#BRACE RIGHT & LEFT 
11621	425	154	442	181	0
11611	5	154	22	181	0

#DIE
13001	215	120	234	137	0

#####  FIRE ###############
#IDLE
21121	246	394	259	421	0
21111	186	394	199	421	0

#WALKING RIGHT
21222	275	394	290	421	0
21223	304	394	321	421	0

#WALKING LEFT
21212	155	394	170	421	0
21213	125	394	140	421	0

#RUNNING RIGHT
21321	334	394	355	421	0
21322	334	394	355	421	0
21323	392	394	413	421	0

#RUNNING LEFT
21311	91	394	112	421	0
21312	65	394	86	421	0
21313	34	394	55	421	0

#JUMP WALK RIGHT
21417	395	515	412	542	0
21413	35	515	52	542	0

#JUMP RUN RIGHT & LEFT
21427	394	435	413	462	0
21423	35	435	52	462	0

#SIT RIGHT & LEFT 
21521	426	479	441	496	0
21511	5	479	20	496	0

#BRACE RIGHT & LEFT 
21621	425	394	442	421	0
21611	5	394	22	421	0

#####  RACOON ###############
#IDLE
31121	242	633	265	664	0
31111	182	633	203	664	0

#WALKING RIGHT
31222	272	633	293	664	0
31223	303	633	323	662	0

#WALKING LEFT
31212	152	633	173	664	0
31213	122	633	142	664	0

#RUNNING RIGHT
31321	331	633	353	664	0
31322	361	633	383	664	0
31323	391	633	413	664	0

#RUNNING LEFT
31311	91	633	114	664	0
31312	61	633	84	664	0
31313	31	633	54	664	0

#JUMP WALK RIGHT
31417	393	753	414	780	0
31413	31	753	54	780	0

#JUMP RUN RIGHT & LEFT
31427	361	713	363	735	0
31423	61	713	83	735	0

#SIT RIGHT & LEFT 
31521	391	678	414	697	0
31511	32	678	53	697	0

#BRACE RIGHT & LEFT 
31621	423	633	441	664	0
31611	4	633	22	664	0

#DIE
#13001	215	120	234	137	0

############ SMALL ################
 #IDLE
12121	247	0	260	15	0
12111	187	0	200	15	0

#WALK RIGHT
12222	275	0	292	15	0
12223	306	0	321	15	0

#WALK LEFT
12212	155	0	170	15	0
12213	125	0	140	15	0

#RUN RIGHT
12321	275	0	290	15	0
12322	306	0	321	15	0
12323	335	0	350	15	0

#RUN LEFT
12311	155	0	170	15	0
12312	125	0	140	15	0
12313	95	0	110	15	0

#BRACE RIGHT & LEFT
12511	6	0	19	15	0
12521	426	0	439	15	0

#JUMP WALK RIGHT & LEFT 
12413	35	80	50	95	0
12417	395	80	410	95	0

#JUMP RUN RIGHT & LEFT 
12423	65	40	80	55	0
12427	365	40	380	55	0

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#IDLE
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	30	11322	50	11323	50
601	11311	30	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#DIE
999	13001	100

################### RACOON ###################
#IDLE
3400	31121	100
3401	31111	100

#WALKING RIGHT & LEFT 
3500	31121	100	31222	100	31223	100
3501	31111	100	31212	100	31213	100

#RUNNING RIGHT & LEFT
3600	31321	30	31322	30	31323	30
3601	31311	30	31312	30	31313	30

#JUMP WALK
3700	31417	100
3701	31413	100

#JUMP RUN
3800	31427	100
3801	31423	100

#SIT RIGHT & LEFT 
3900	31521	100
3901	31511	100

#BRACE RIGHT & LEFT 
3100	31621	100
3101	31611	100

###################FIRE###################
2400	21121	100
2401	21111	100

#WALKING RIGHT & LEFT 
2500	21121	100	21222	100	21223	100
2501	21111	100	21212	100	21213	100

#RUNNING RIGHT & LEFT
2600	21321	50	21322	50	21323	50
2601	21311	50	21312	50	21313	50

#JUMP WALK
2700	21417	100
2701	21413	100

#JUMP RUN
2800	21427	100
2801	21423	100

#SIT RIGHT & LEFT 
2900	21521	100
2901	21511	100

#BRACE RIGHT & LEFT 
2100	21621	100
2101	21611	100

################### SMALL #################
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100
